nombreOferta;precioActual;precioAnterior;imagenOferta;urlOferta;categoria
Garbanzos a la riojana Original Carrefour sin gluten 420 g.;1.43;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/419559_00_1.jpg;https://www.carrefour.es/supermercado/garbanzos-a-la-riojana-original-carrefour-sin-gluten-420-g-carrefour/R-VC4AECOMM-419559/p?prtId=cat20001;2
Mantequilla tradicional Arias pack de 10 porciones de 11,5 g.;2.25;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/003274_00_1.jpg;https://www.carrefour.es/supermercado/mantequilla-tradicional-arias-pack-de-10-porciones-de-11-5-g-arias/R-521030125/p?prtId=cat20001;2
Leche semidesnatada con calcio Pascual brik 1 l.;1.83;1.57;https://static.carrefour.es/hd_280x_/img_pim_food/167541_00_1.jpg;https://www.carrefour.es/supermercado/leche-semidesnatada-con-calcio-pascual-brik-1-l-pascual/R-521007006/p?prtId=cat20001;2
Choco Roll Classic' Carrefour 270 g.;2.19;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/581108_00_1.jpg;https://www.carrefour.es/supermercado/choco-roll-classic-carrefour-270-g-carrefour/R-VC4AECOMM-581108/p?prtId=cat20001;2
Caldo de carne con aceite de oliva virgen extra Avecrem Gallina Blanca sin gluten 8 pastillas;1.13;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/446525_00_1.jpg;https://www.carrefour.es/supermercado/caldo-de-carne-con-aceite-de-oliva-virgen-extra-avecrem-gallina-blanca-sin-gluten-8-pastillas-avecrem/R-prod380135/p?prtId=cat20001;2
Leche semidesnatada ultrafiltrada Suprema Central Lechera Asturiana sin lactosa brik 1 l.;1.35;1.24;https://static.carrefour.es/hd_280x_/img_pim_food/328791_00_1.jpg;https://www.carrefour.es/supermercado/leche-semidesnatada-ultrafiltrada-suprema-central-lechera-asturiana-sin-lactosa-brik-1-l-central-lechera-asturiana/R-VC4AECOMM-328791/p?prtId=cat20001;2
Fabada asturiana Carrefour sin gluten 765 g.;2.84;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/228288_00_1.jpg;https://www.carrefour.es/supermercado/fabada-asturiana-carrefour-sin-gluten-765-g-carrefour/R-521006709/p?prtId=cat20001;2
Aceite de oliva 0,4º La Masía 1 l.;6.50;5.29;https://static.carrefour.es/hd_280x_/img_pim_food/000005_00_1.jpg;https://www.carrefour.es/supermercado/aceite-de-oliva-0-4-la-masia-1-l-la-masia/R-520660263/p?prtId=cat20001;2
Sazonador para pollo de hierbas provenzales Jugoso al Horno Maggi 34 g.;1.19;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/156121_00_1.jpg;https://www.carrefour.es/supermercado/sazonador-para-pollo-de-hierbas-provenzales-jugoso-al-horno-maggi-34-g-maggi/R-529039576/p?prtId=cat20001;2
Caballa del sur en aceite de oliva De Nuestra Tierra 78 g.;2.09;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/470936_00_1.jpg;https://www.carrefour.es/supermercado/caballa-del-sur-en-aceite-de-oliva-de-nuestra-tierra-78-g-de-nuestra-tierra/R-521006260/p?prtId=cat20001;2
Galletas de barquillo rellenas de nata sin azúcar añadido Carrefour 210 g.;1.05;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/513756_00_1.jpg;https://www.carrefour.es/supermercado/galletas-de-barquillo-rellenas-de-nata-sin-azucar-anadido-carrefour-210-g-carrefour/R-VC4AECOMM-513756/p?prtId=cat20001;2
Sazonador para pollo sabor ajillo con toque de perejil Jugoso al Horno Maggi 36 g.;1.19;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/156645_00_1.jpg;https://www.carrefour.es/supermercado/sazonador-para-pollo-sabor-ajillo-con-toque-de-perejil-jugoso-al-horno-maggi-36-g-maggi/R-546306194/p?prtId=cat20001;2
Mermelada de frutas del bosque categoría extra Carrefour 410 g.;2.25;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/228277_00_1.jpg;https://www.carrefour.es/supermercado/mermelada-de-frutas-del-bosque-categoria-extra-carrefour-410-g-carrefour/R-521003498/p?prtId=cat20001;2
Yogur natural de leche de oveja pasteurizada ecológica Carrefour Bio 420 g.;3.35;2.65;https://static.carrefour.es/hd_280x_/img_pim_food/437920_00_1.jpg;https://www.carrefour.es/supermercado/yogur-natural-de-leche-de-oveja-pasteurizada-ecologica-carrefour-bio-420-g-carrefour-bio/R-VC4AECOMM-437920/p?prtId=cat20001;2
