titulo;price;price_less;url_img;url
Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.;15,54 EUR;13,49 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/587130_00_1.jpg;https://www.carrefour.es/supermercado/cerveza-alhambra-reserva-1925-pack-de-12-botellas-de-33-cl-alhambra/R-521028210/p?prtId=cat20003
Aquarius sabor limón zero azúcar sin calorías lata 33 cl.;0,85 EUR;0,80 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/196319_00_1.jpg;https://www.carrefour.es/supermercado/aquarius-sabor-limon-zero-azucar-sin-calorias-lata-33-cl-aquarius-zero/R-590206943/p?prtId=cat20003
Aquarius sabor naranja zero azúcar sin calorías lata 33 cl.;0,85 EUR;0,80 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/194193_00_1.jpg;https://www.carrefour.es/supermercado/aquarius-sabor-naranja-zero-azucar-sin-calorias-lata-33-cl-aquarius-zero/R-546003725/p?prtId=cat20003
Vermut Martini rosso 1 l.;10,19 EUR;9,69 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/000278_00_1.jpg;https://www.carrefour.es/supermercado/vermut-martini-rosso-1-l-martini/R-520663120/p?prtId=cat20003
Bebida espirituosa Veterano 1 l.;9,59 EUR;8,75 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/256299_00_1.jpg;https://www.carrefour.es/supermercado/bebida-espirituosa-veterano-1-l-veterano-33/R-520662692/p?prtId=cat20003
Vermut Martini blanco 1 l.;10,19 EUR;9,69 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/000279_00_1.jpg;https://www.carrefour.es/supermercado/vermut-martini-blanco-1-l-martini/R-520663122/p?prtId=cat20003
Anís del Mono edición especial 1 l.;11,09 EUR;9,99 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/000389_00_1.jpg;https://www.carrefour.es/supermercado/anis-del-mono-edicion-especial-1-l-mono/R-520663031/p?prtId=cat20003
Tinto de verano con limón sin alcohol La Casera botella 1,5 l.;2,45 EUR;1,99 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/783159_00_1.jpg;https://www.carrefour.es/supermercado/tinto-de-verano-con-limon-sin-alcohol-la-casera-botella-1-5-l-la-casera/R-774909699/p?prtId=cat20003
Cerveza El Águila sin filtrar lata 33 cl.;0,99 EUR;0,79 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/242533_00_1.jpg;https://www.carrefour.es/supermercado/cerveza-el-aguila-sin-filtrar-lata-33-cl-el-aguila/R-fprod1190420/p?prtId=cat20003
Licor de orujo de hierbas Ruavieja 70 cl.;10,25 EUR;8,99 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/000368_00_1.jpg;https://www.carrefour.es/supermercado/licor-de-orujo-de-hierbas-ruavieja-70-cl-ruavieja/R-520663041/p?prtId=cat20003
Vino tinto crianza Hacienda López de Haro D.O.Ca. Rioja 75 cl.;7,69 EUR;6,95 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/154397_00_1.jpg;https://www.carrefour.es/supermercado/vino-tinto-crianza-hacienda-lopez-de-haro-d-o-ca-rioja-75-cl-hacienda-lopez-de-haro/R-864900565/p?prtId=cat20003
Distinto con vino de verdejo y limón La Casera botella 1,5 l.;2,45 EUR;1,99 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/254598_00_1.jpg;https://www.carrefour.es/supermercado/distinto-con-vino-de-verdejo-y-limon-la-casera-botella-1-5-l-la-casera/R-fprod1200278/p?prtId=cat20003
Vermut rojo El Bandarra artesano 1 l.;10,95 EUR;8,99 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/151445_00_1.jpg;https://www.carrefour.es/supermercado/vermut-rojo-el-bandarra-artesano-1-l-el-bandarra/R-prod372037/p?prtId=cat20003
Crema de orujo Ruavieja 70 cl.;14,05 EUR;11,50 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/680723_00_1.jpg;https://www.carrefour.es/supermercado/crema-de-orujo-ruavieja-70-cl-ruavieja/R-521015515/p?prtId=cat20003
Ginebra Gordon's 1 l.;15,68 EUR;13,49 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/043483_00_1.jpg;https://www.carrefour.es/supermercado/ginebra-gordon-s-1-l-gordons/R-521009386/p?prtId=cat20003
Vino rosado Peñascal lata 25 cl.;1,85 EUR;1,58 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/059049_00_1.jpg;https://www.carrefour.es/supermercado/vino-rosado-penascal-lata-25-cl-penascal/R-VC4AECOMM-059049/p?prtId=cat20003
Tinto de verano clásico sin alcohol La Casera botella 1,5 l.;2,45 EUR;1,99 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/783156_00_1.jpg;https://www.carrefour.es/supermercado/tinto-de-verano-clasico-sin-alcohol-la-casera-botella-1-5-l-la-casera/R-774909695/p?prtId=cat20003
Whisky William Lawson's escocés 70 cl.;10,69 EUR;9,69 EUR;https://static.carrefour.es/hd_280x_/img_pim_food/000313_00_1.jpg;https://www.carrefour.es/supermercado/whisky-william-lawson-s-escoces-70-cl-william-lawson-s/R-663901644/p?prtId=cat20003
